,republican,n,y,n.1,y.1,y.2,y.3,n.2,n.3,n.4,y.4,?,y.5,y.6,y.7,n.5,y.8
368,republican,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
369,democrat,y,y,y,n,?,y,y,y,n,y,?,?,n,n,y,y
370,democrat,y,y,y,n,?,n,y,y,y,y,n,n,n,n,y,?
371,democrat,n,y,y,y,y,y,n,n,n,n,y,y,?,y,n,n
372,democrat,n,y,y,?,y,y,n,y,n,y,?,n,y,y,?,y
373,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
374,democrat,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
375,democrat,y,?,y,n,n,n,y,y,y,n,y,n,n,n,y,y
376,republican,n,y,n,y,y,y,?,?,n,n,?,?,y,?,?,?
377,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
378,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
379,democrat,y,y,y,n,n,y,?,y,y,n,y,n,y,n,y,y
380,democrat,y,y,y,n,y,y,y,y,y,y,y,n,y,y,n,?
381,democrat,y,y,n,y,y,y,n,n,n,n,y,n,y,y,n,?
382,democrat,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
383,democrat,y,y,y,y,y,y,n,n,n,n,y,y,y,y,n,y
384,democrat,y,y,n,n,y,y,n,n,n,n,y,y,y,y,y,n
385,democrat,n,?,y,n,y,y,n,y,n,n,y,n,n,n,n,?
386,democrat,y,y,y,n,y,y,n,y,y,n,y,n,n,y,n,?
387,democrat,n,y,y,y,y,y,n,n,n,n,n,y,y,y,n,?
388,democrat,y,n,y,n,n,n,y,y,y,?,y,n,n,n,y,?
389,democrat,?,?,n,n,?,y,?,n,n,n,y,y,n,y,n,?
390,democrat,y,y,n,n,n,n,n,y,y,n,y,n,n,n,y,n
391,republican,y,y,n,y,y,y,n,n,n,n,y,y,y,y,n,y
392,republican,?,?,?,?,n,y,n,y,y,n,n,y,y,n,n,?
393,democrat,y,y,?,?,?,y,n,n,n,n,y,n,y,n,n,y
394,democrat,y,y,y,?,n,n,n,y,n,n,y,?,n,n,y,y
395,democrat,y,y,y,n,y,y,n,y,n,n,y,n,y,n,y,y
396,democrat,y,y,n,n,y,?,n,n,n,n,y,n,y,y,n,y
397,democrat,n,y,y,n,y,y,n,y,n,n,n,n,n,n,n,y
398,republican,n,y,n,y,?,y,n,n,n,y,n,y,y,y,n,n
399,republican,n,y,n,y,y,y,n,?,n,n,?,?,?,y,n,?
400,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
401,republican,?,n,y,y,n,y,y,y,y,y,n,y,n,y,n,y
402,republican,n,y,n,y,y,y,n,n,n,y,n,y,?,y,n,n
403,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
404,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
405,democrat,y,n,y,n,y,y,n,n,y,y,n,n,y,y,n,y
406,democrat,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
407,democrat,y,n,y,n,n,y,y,y,y,n,n,y,?,y,y,y
408,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
409,republican,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,y
410,democrat,y,n,y,n,n,y,y,y,y,y,y,n,n,n,n,y
411,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
412,republican,y,y,y,y,y,y,y,y,n,y,?,?,?,y,n,y
413,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
414,democrat,n,y,y,n,n,y,y,y,?,y,n,n,n,n,n,y
415,republican,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
416,democrat,y,y,y,n,n,n,y,y,y,y,y,n,y,n,n,y
417,democrat,y,y,y,n,n,n,y,y,n,y,n,n,n,n,n,y
418,democrat,y,y,y,n,n,n,y,y,y,n,n,n,n,n,n,y
419,republican,y,y,y,y,y,y,y,y,n,y,n,n,y,y,n,y
420,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
421,democrat,n,n,y,n,n,y,y,y,y,n,y,n,n,n,y,y
422,democrat,n,y,y,n,n,y,y,y,y,n,y,n,n,y,y,y
423,democrat,n,y,y,n,n,?,y,y,y,y,y,n,?,y,y,y
424,democrat,n,n,y,n,n,n,y,y,n,y,y,n,n,n,y,?
425,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
426,republican,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
427,democrat,?,?,?,n,n,n,y,y,y,y,n,n,y,n,y,y
428,democrat,y,n,y,n,?,n,y,y,y,y,n,y,n,?,y,y
429,republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
430,democrat,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
431,republican,n,?,n,y,y,y,n,n,n,n,y,y,y,y,n,y
432,republican,n,n,n,y,y,y,?,?,?,?,n,y,y,y,n,y
433,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,y,?,n
